"","Country","ath","year","Total","rank","final_vote","host_country","on_final_vote","gdps","pops"
"248","Lebanon",-0.623238148120358,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.549686187090183,-0.283550044176039
"249","Liechtenstein",-0.492526757171016,2002,-0.45498652944378,0,-0.16582719486181,0,0,2.63047944969012,-0.30090868242911
"250","Lithuania",-0.492526757171016,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.647217057592851,-0.281725029189391
"251","Macedonia",-0.623238148120358,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.708780212828012,-0.289973637138616
"252","Mexico",-0.601452916295468,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.524198068708579,0.249734780038882
"253","Moldova",-0.557882452645687,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.772660835022519,-0.281059088104211
"254","Monaco",-0.557882452645687,2002,-0.45498652944378,0,-0.16582719486181,0,0,3.18968578070468,-0.300914151205199
"255","Mongolia",-0.579667684470577,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.769349077592677,-0.288027311158243
"256","Nepal",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.781081074662794,-0.173101541041735
"257","Netherlands",-0.078607352498098,2002,0.757549717154199,10,-0.16582719486181,0,0,0.4234498249872,-0.214153794576996
"258","New Zealand",-0.448956293521235,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.112865333126612,-0.280020938337707
"259","Norway",1.01065423874642,2002,3.33418924117491,3,-0.16582719486181,0,0,0.876180599260699,-0.276576959010789
"260","Poland",-0.078607352498098,2002,-0.151852467794286,22,-0.16582719486181,0,0,-0.587992060047094,-0.0895473829826391
"261","Puerto Rico",-0.623238148120358,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.0973158981769568,-0.280240314729682
"262","Romania",-0.20931874344744,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.71380016160493,-0.177878463103508
"263","Russia",2.62276139378831,2002,1.51538487127794,6,-0.16582719486181,0,0,-0.702926253465957,0.507108522825161
"264","San Marino",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,0.485306310142578,-0.30093990478842
"265","Slovakia",0.400667747649491,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.543449781483398,-0.271483873331335
"266","Slovenia",0.204600661225477,2002,-0.303419498619033,24,-0.16582719486181,0,0,-0.305350648161837,-0.290173766208313
"267","South Africa",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.650965843665748,-0.0582591455819209
"268","Spain",-0.514311988995906,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.106930984296162,-0.0789901701128684
"269","Sweden",1.55528503436868,2002,0.605982686329452,13,1.75435873442588,0,1,0.536206077887137,-0.25237660601295
"270","Switzerland",1.72956688896781,2002,1.21225080962844,9,1.75435873442588,0,1,1.0059894475212,-0.261790876551879
"271","Chinese Taipei",-0.536097220820796,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.307325009654801,0.0289038817775723
"272","Tajikistan",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.783491291189656,-0.267442985227063
"273","Thailand",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.698664104591387,0.0410049916831503
"274","Trinidad and Tobago",-0.623238148120358,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.537401802188393,-0.294133854684505
"275","Turkey",-0.601452916295468,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.617873455656144,0.0411722938089124
"276","Ukraine",0.814587152322409,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.75622058146828,-0.028231379741595
"277","United States",3.73380821685772,2002,4.69829251859763,2,7.24060424667643,1,1,0.771165487517921,1.23170963353696
"278","Uzbekistan",-0.536097220820796,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.764491482653657,-0.167397891130162
"279","Venezuela",-0.579667684470577,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.598064406582672,-0.169045736894639
"280","Virgin Islands",-0.492526757171016,2002,-0.45498652944378,0,-0.16582719486181,0,0,0.184633586700605,-0.300492678478816
"281","Yugoslavia",-0.536097220820796,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.599841628827455,-0.283612216649089
"282","Albania",-0.645023379945248,2006,-0.45498652944378,0,-0.16582719486181,0,0,-0.702728114458391,-0.284395492121402
"283","Algeria",-0.623238148120358,2006,-0.45498652944378,0,-0.16582719486181,0,0,-0.689141227781806,-0.122924799455552
"284","Andorra",-0.601452916295468,2006,-0.45498652944378,0,-0.16582719486181,0,0,0.640740969151302,-0.300687017855499
"285","Argentina",-0.470741525346125,2006,-0.45498652944378,0,-0.16582719486181,0,0,-0.588737361453616,-0.0905757184062006
"286","Armenia",-0.557882452645687,2006,-0.45498652944378,0,-0.16582719486181,0,0,-0.743884225567964,-0.284510885934566
"287","Australia",0.204600661225477,2006,-0.151852467794286,18,-0.16582719486181,0,0,0.361613821304883,-0.191755156018805
"288","Austria",1.18493609334555,2006,3.03105517952541,4,-0.16582719486181,0,0,0.6357079966864,-0.256418303003718
"289","Azerbaijan",-0.623238148120358,2006,-0.45498652944378,0,-0.16582719486181,0,0,-0.74632238078902,-0.255791710509843
"290","Belarus",-0.0568221206732075,2006,-0.303419498619033,22,-0.16582719486181,0,0,-0.700462472037641,-0.247253004650839
"291","Belgium",-0.579667684470577,2006,-0.45498652944378,0,-0.16582719486181,0,0,0.577819992815808,-0.244054457532522
"292","Bermuda",-0.645023379945248,2006,-0.45498652944378,0,-0.16582719486181,0,0,2.22593899993222,-0.300740923106633
"293","Bosnia and Herzegovina",-0.536097220820796,2006,-0.45498652944378,0,-0.16582719486181,0,0,-0.69077285964805,-0.280329155964405
"294","Brazil",-0.448956293521235,2006,-0.45498652944378,0,-0.16582719486181,0,0,-0.633833496886001,0.701270546747524
"295","Bulgaria",-0.20931874344744,2006,-0.303419498619033,23,-0.16582719486181,0,0,-0.666202989557691,-0.258229511968414
"296","Canada",3.60309682590838,2006,3.18262221035016,3,-0.16582719486181,0,0,0.51207573317011,-0.126972909289664
"297","Chile",-0.470741525346125,2006,-0.45498652944378,0,-0.16582719486181,0,0,-0.541156588444994,-0.214277602568163
"298","China",0.988869006921532,2006,1.21225080962844,11,-0.16582719486181,0,0,-0.730247311492775,6.77715699017794
"299","Costa Rica",-0.645023379945248,2006,-0.45498652944378,0,-0.16582719486181,0,0,-0.598453762614301,-0.278425968032725
"300","Croatia",-0.143963047972769,2006,-0.0002854369695381,17,-0.16582719486181,0,0,-0.441535165200119,-0.276689337084083
